destination_id,name,location,latitude,longitude,category,description,activities,difficulty_level,best_season,avg_cost_per_day,duration_days,popularity_score,altitude,permits_required,image_url
1,Everest Base Camp,Solukhumbu,27.9881,86.9250,Trekking,"Everest Base Camp trek is one of the most iconic trekking routes in the world. The journey takes you through stunning Sherpa villages, ancient monasteries, and breathtaking mountain landscapes. You'll experience the unique culture of the Khumbu region while witnessing magnificent views of the world's highest peaks including Mount Everest, Lhotse, and Ama Dablam. The trek typically starts from Lukla and passes through Namche Bazaar, Tengboche, Dingboche, and Gorak Shep before reaching the base camp at 5,364 meters.","[""trekking"",""photography"",""cultural immersion"",""mountaineering""]",4,Autumn,50,14,95,5364,true,https://example.com/everest.jpg
2,Pokhara Valley,Kaski,28.2096,83.9856,Nature,"Pokhara is Nepal's adventure capital and second-largest city, nestled beside the tranquil Phewa Lake with stunning views of the Annapurna range. This lakeside paradise offers a perfect blend of natural beauty, adventure activities, and relaxation. Visitors can enjoy boating on Phewa Lake, visit the World Peace Pagoda, explore mysterious caves, or simply relax in lakeside cafes. The city serves as a gateway to numerous treks and is famous for paragliding with spectacular mountain views.","[""paragliding"",""boating"",""trekking"",""cave exploration"",""relaxation""]",1,All,35,3,92,800,false,https://example.com/pokhara.jpg
3,Chitwan National Park,Chitwan,27.5291,84.3542,Wildlife,"Chitwan National Park is Nepal's first national park and a UNESCO World Heritage Site, protecting one of Asia's finest wildlife reserves. The park is home to the endangered one-horned rhinoceros, Royal Bengal tiger, gharial crocodile, and over 500 bird species. Visitors can enjoy jungle safaris on elephant back or in 4WD vehicles, canoe rides along the Rapti River, and guided jungle walks. The experience also includes cultural programs by the indigenous Tharu people, showcasing their unique dances and traditions.","[""jungle safari"",""wildlife watching"",""bird watching"",""canoe ride"",""cultural program""]",1,Winter,45,2,88,150,false,https://example.com/chitwan.jpg
4,Kathmandu Durbar Square,Kathmandu,27.7042,85.3071,Cultural,"Kathmandu Durbar Square is a historic plaza facing the old royal palace of the former Kathmandu Kingdom, now a UNESCO World Heritage Site. This architectural showpiece showcases the finest examples of Newari craftsmanship, with intricately carved wooden windows and doors, pagoda-style temples, and ornate statues. The square houses numerous temples including the revered Kumari Ghar (house of the living goddess), Kasthamandap temple, and Hanuman Dhoka palace. It's a living museum where centuries-old traditions continue to thrive amidst ancient monuments.","[""heritage walk"",""photography"",""cultural immersion"",""architecture appreciation""]",1,All,25,1,85,1400,false,https://example.com/kathmandu-durbar.jpg
5,Annapurna Circuit,Manang,28.7500,84.0167,Trekking,"The Annapurna Circuit is considered one of the world's classic long-distance treks, circumnavigating the Annapurna massif. This epic journey takes you through diverse landscapes from lush subtropical forests to high-altitude desert, crossing the challenging Thorong La Pass at 5,416 meters. Trekkers experience a remarkable variety of cultures, from Hindu lowlands through Buddhist highlands, while enjoying spectacular views of Annapurna, Dhaulagiri, and Manaslu peaks. The trek showcases Nepal's incredible biodiversity and cultural diversity.","[""trekking"",""cultural exploration"",""photography"",""high-altitude hiking""]",4,Autumn,40,18,90,5416,true,https://example.com/annapurna-circuit.jpg
6,Lumbini,Rupandehi,27.4833,83.2764,Religious,"Lumbini is the birthplace of Lord Buddha and one of the most sacred pilgrimage sites for Buddhists worldwide, designated as a UNESCO World Heritage Site. The site features the sacred Maya Devi Temple marking the exact birthplace, the ancient Ashoka Pillar erected in 249 BC, and numerous international monasteries built in diverse architectural styles. Visitors can explore the peaceful monastic zone, meditate in serene gardens, and learn about Buddhism's origins. The site offers a profound spiritual experience and insight into Buddhist philosophy and culture.","[""pilgrimage"",""meditation"",""cultural learning"",""monastery visits""]",1,All,30,2,82,100,false,https://example.com/lumbini.jpg
7,Bhaktapur Durbar Square,Bhaktapur,27.6715,85.4274,Cultural,"Bhaktapur Durbar Square is a stunning medieval city square in the ancient city of Bhaktapur, showcasing the pinnacle of Newari architecture and craftsmanship. This UNESCO World Heritage Site features the 55-Window Palace, Golden Gate, Lion Gate, and numerous temples with exquisite woodcarvings. The square is less crowded than Kathmandu's, offering a more authentic experience of traditional Newari life. Visitors can witness pottery-making in Potter's Square, taste famous Juju Dhau (king yogurt), and explore narrow alleyways lined with traditional brick buildings.","[""heritage walk"",""photography"",""pottery making"",""local cuisine tasting""]",1,All,28,1,80,1340,false,https://example.com/bhaktapur.jpg
8,Rara Lake,Mugu,29.5333,82.0833,Nature,"Rara Lake is Nepal's largest lake and one of its most remote treasures, located in the far northwestern region. This pristine alpine lake sits at 2,990 meters surrounded by Rara National Park, offering crystal-clear waters that reflect the surrounding pine forests and snow-capped peaks. The area is home to rare wildlife including red panda, musk deer, and Himalayan black bear. The lake's serene beauty and remote location make it perfect for those seeking solitude and unspoiled nature. The journey here is an adventure in itself, passing through remote villages rarely visited by tourists.","[""trekking"",""camping"",""wildlife watching"",""photography"",""boating""]",3,Autumn,35,7,65,2990,true,https://example.com/rara-lake.jpg
9,Patan Durbar Square,Lalitpur,27.6729,85.3256,Cultural,"Patan Durbar Square is the heart of the ancient city of Lalitpur, renowned as Nepal's finest collection of Newari architecture. This UNESCO World Heritage Site boasts an extraordinary concentration of temples with stunning stone and metal craftsmanship. The square features the Krishna Mandir with its intricate stone carvings, the Patan Museum housed in the old palace showcasing exquisite metalwork, and numerous smaller temples. Patan is known as the city of fine arts, and visitors can watch traditional craftsmen creating metalwork, wood carvings, and thangka paintings in surrounding workshops.","[""heritage walk"",""museum visit"",""art appreciation"",""craft shopping""]",1,All,27,1,78,1310,false,https://example.com/patan.jpg
10,Langtang Valley,Rasuwa,28.2167,85.5500,Trekking,"Langtang Valley trek offers a perfect introduction to Himalayan trekking with stunning mountain scenery, diverse flora and fauna, and authentic Tamang culture. The valley was severely affected by the 2015 earthquake but has since recovered with rebuilt villages and renewed trails. The trek takes you through beautiful rhododendron forests, yak pastures, and traditional villages with Tibetan-influenced culture. Trekkers enjoy magnificent views of Langtang Lirung, can visit the sacred Gosainkunda lakes, and experience warm hospitality in teahouses. The proximity to Kathmandu makes it accessible for those with limited time.","[""trekking"",""cultural immersion"",""photography"",""wildlife spotting""]",3,Spring,38,10,75,4500,true,https://example.com/langtang.jpg
